'__post_init__'; 0.0561s
'from_element'; 0.0561s
'nodes_ids'; 0.0114s
'prefixes_nodes'; 0.0438s
'prefixes'; 0.0440s
'__post_init__'; 0.0445s
'from_element'; 0.0445s
'nodes_ids'; 0.0122s
'prefixes_nodes'; 0.0457s
'prefixes'; 0.0459s
'__post_init__'; 0.0464s
'from_element'; 0.0464s
'ontologies'; 0.2659s
'nodes_ids'; 0.0092s
'nodes_ids'; 0.0015s
'get_ontology_contains_element_id'; 0.2766s
'get_relations'; 0.2767s
'relations_from_node'; 0.2767s
'relations_from'; 0.2767s
'to_turtle'; 0.2768s
'nodes_ids'; 0.0114s
'ontology_nodes'; 0.0406s
'nodes_ids'; 0.0115s
'prefixes_nodes'; 0.0423s
'prefixes'; 0.0426s
'_get_children_by_filter'; 0.0091s
'get_class_elements_children_of'; 0.0091s
'get_classes_children_of'; 0.0092s
'_get_children_by_filter'; 0.0098s
'get_named_instance_elements_children_of'; 0.0098s
'get_named_instances_children_of'; 0.0100s
'_get_children_by_filter'; 0.0094s
'get_datatype_elements_children_of'; 0.0094s
'get_datatypes_children_of'; 0.0094s
'__post_init__'; 0.0712s
'from_element'; 0.0713s
'nodes_ids'; 0.0142s
'prefixes_nodes'; 0.0450s
'prefixes'; 0.0453s
'_get_children_by_filter'; 0.0017s
'get_class_elements_children_of'; 0.0017s
'get_classes_children_of'; 0.0046s
'_get_children_by_filter'; 0.0027s
'get_named_instance_elements_children_of'; 0.0027s
'get_named_instances_children_of'; 0.0028s
'_get_children_by_filter'; 0.0023s
'get_datatype_elements_children_of'; 0.0023s
'get_datatypes_children_of'; 0.0023s
'__post_init__'; 0.0550s
'from_element'; 0.0550s
'nodes_ids'; 0.0116s
'prefixes_nodes'; 0.0453s
'prefixes'; 0.0457s
'__post_init__'; 0.0463s
'from_element'; 0.0463s
'nodes_ids'; 0.0133s
'prefixes_nodes'; 0.0500s
'prefixes'; 0.0503s
'__post_init__'; 0.0510s
'from_element'; 0.0511s
'ontologies'; 0.2642s
'nodes_ids'; 0.0093s
'nodes_ids'; 0.0016s
'get_ontology_contains_element_id'; 0.2755s
'get_relations'; 0.2756s
'relations_from_node'; 0.2756s
'relations_from'; 0.2756s
'to_turtle'; 0.2756s
'nodes_ids'; 0.0127s
'ontology_nodes'; 0.0457s
'nodes_ids'; 0.0121s
'prefixes_nodes'; 0.0451s
'prefixes'; 0.0455s
'_get_children_by_filter'; 0.0103s
'get_class_elements_children_of'; 0.0103s
'get_classes_children_of'; 0.0103s
